,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,accuracy,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support,experiment,feats
0,0.8671140939597315,0.7399770904925544,0.7985166872682323,873,0.509719222462203,0.7044776119402985,0.5914786967418546,335,0.7301324503311258,0.6884166582109672,0.7222273512164264,0.6949976920050435,1208,0.7680021055891421,0.7301324503311258,0.7411013504914636,1208,experiment_1,['tfidf']
1,0.8671140939597315,0.7391304347826086,0.798023471278567,874,0.5075593952483801,0.7035928143712575,0.589711417816813,334,0.7293046357615894,0.6873367446040558,0.7213616245769331,0.69386744454769,1208,0.7677007915014605,0.7293046357615894,0.7404272578214265,1208,experiment_2,"['tfidf', 'body_stats']"
2,0.87248322147651,0.7488479262672811,0.8059516429014261,868,0.5291576673866091,0.7205882352941176,0.6102117061021171,340,0.7408940397350994,0.7008204444315596,0.7347180807806994,0.7080816745017715,1208,0.775851856914783,0.7408940397350994,0.7508592765837397,1208,experiment_3,"['tfidf', 'body_stats', 'syntactic']"
3,0.8738255033557047,0.7552204176334106,0.8102053515868077,862,0.5442764578833693,0.7283236994219653,0.622991347342398,346,0.7475165562913907,0.7090509806195371,0.7417720585276879,0.7165983494646029,1208,0.7794347999339928,0.7475165562913907,0.7565827973909752,1208,experiment_4,"['tfidf', 'body_stats', 'syntactic', 'indicators']"
4,0.8402684563758389,0.7364705882352941,0.7849529780564264,850,0.5161987041036717,0.6675977653631285,0.5822168087697931,358,0.7160596026490066,0.6782335802397553,0.7020341767992113,0.6835848934131097,1208,0.7442279172090874,0.7160596026490066,0.7248705702711493,1208,experiment_5,['medical']
5,0.8550335570469799,0.7424242424242424,0.7947598253275109,858,0.5226781857451404,0.6914285714285714,0.5953259532595325,350,0.7276490066225165,0.6888558713960602,0.716926406926407,0.6950428892935216,1208,0.7587385405274072,0.7276490066225165,0.7369768325925834,1208,experiment_6,"['tfidf', 'medical']"
6,0.8751677852348994,0.7572590011614402,0.8119551681195517,861,0.5485961123110151,0.7319884726224783,0.6271604938271605,347,0.75,0.7118819487729573,0.7446237368919593,0.7195578309733561,1208,0.781359531505936,0.75,0.7588725919776149,1208,experiment_7,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical']"
7,0.9771812080536912,0.6185216652506372,0.7575442247658688,1177,0.03023758099352052,0.45161290322580644,0.05668016194331984,31,0.6142384105960265,0.5037093945236059,0.5350672842382218,0.4071121933545943,1208,0.9528805023923789,0.6142384105960265,0.7395584748093299,1208,experiment_8,['embeddings']
8,0.8751677852348994,0.7451428571428571,0.8049382716049382,875,0.5183585313174947,0.7207207207207207,0.6030150753768844,333,0.7384105960264901,0.6967631582761971,0.7329317889317889,0.7039766734909113,1208,0.7768089428884625,0.7384105960264901,0.7492756686712115,1208,experiment_9,"['tfidf', 'embeddings']"
9,0.8778523489932886,0.7569444444444444,0.8129272840273462,864,0.5464362850971922,0.7354651162790697,0.6270136307311028,344,0.7508278145695364,0.7121443170452404,0.7462047803617571,0.7199704573792245,1208,0.7834755890758571,0.7508278145695364,0.7599849854065617,1208,experiment_10,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical', 'embeddings']"
10,1.0,0.6167218543046358,0.7629288274449565,1208,0.0,0.0,0.0,0,0.6167218543046358,0.5,0.3083609271523179,0.38146441372247825,1208,1.0,0.6167218543046358,0.7629288274449565,1208,experiment_11,['sentiment']
11,0.8738255033557047,0.7578579743888242,0.8117206982543641,859,0.550755939524838,0.7306590257879656,0.6280788177339901,349,0.75,0.7122907214402714,0.7442585000883949,0.719899757994177,1208,0.7804883528780785,0.75,0.7586652211834944,1208,experiment_12,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical', 'sentiment']"
12,0.8738255033557047,0.7587412587412588,0.8122270742358079,858,0.5529157667386609,0.7314285714285714,0.6297662976629766,350,0.7508278145695364,0.7133706350471829,0.745084915084915,0.7209966859493923,1208,0.7808466889385148,0.7508278145695364,0.7593617830102359,1208,experiment_13,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical', 'embeddings', 'sentiment']"
